id,level,link,child,pid,name,ename,memo,text
204456000,7,7-710-71003-7100338-7100338004-71003380049-204456000,0,71003380049,山刈葉,Melicope semecarpifolia,,山刈葉 <i>Melicope semecarpifolia</i>  (Merr.) T.G. Hartley<font class=c2 ></font>
204457000,7,7-710-71003-7100338-7100338004-71003380049-204457000,0,71003380049,假三腳虌,Melicope triphylla,,假三腳虌 <i>Melicope triphylla</i>  (Lam.) Merr.<font class=c2 ></font>
204458000,7,7-710-71003-7100338-7100338004-710033800410-204458000,0,710033800410,蘭嶼月橘,Murraya crenulata,,蘭嶼月橘 <i>Murraya crenulata</i>  (Turcz.) Oliv.<font class=c2 ></font>
204459000,7,7-710-71003-7100338-7100338004-710033800410-204459000,0,710033800410,山黃皮,Murraya euchrestifolia,,山黃皮 <i>Murraya euchrestifolia</i>  Hayata<font class=c2 > [Endemic]</font>
ITS-503888000,7,7-710-71003-7100338-7100338004-710033800410-ITS-503888000,0,710033800410,月橘,Murraya exotica,,月橘 <i>Murraya exotica</i>  L.<font class=c2 ></font>
204460000,7,7-710-71003-7100338-7100338004-710033800410-204460000,0,710033800410,千里香,Murraya paniculata,,"千里香 <i>Murraya paniculata</i>  (L.) Jack., 1820<font class=c2 ></font>"
204461000,7,7-710-71003-7100338-7100338004-710033800410-204461000,0,710033800410,長果月橘,Murraya paniculata omphalocarpa,,長果月橘 <i>Murraya paniculata</i>  (L.) Jack. </i>var. <i>omphalocarpa</i> (Hayata) Tanaka<font class=c2 > [Endemic]</font>
204462000,7,7-710-71003-7100338-7100338004-710033800411-204462000,0,710033800411,臺灣黃蘗,Phellodendron amurense wilsonii,,臺灣黃蘗 <i>Phellodendron amurense</i>  Rupr. </i>var. <i>wilsonii</i> C.E. Chang<font class=c2 > [Endemic]</font>
417931000,7,7-710-71003-7100338-7100338004-710033800412-417931000,0,710033800412,枳殼,Poncirus trifoliata,,枳殼 <i>Poncirus trifoliata</i>  (L.) Raf.<font class=c2 > [Alien]</font>
204463000,7,7-710-71003-7100338-7100338004-710033800413-204463000,0,710033800413,烏柑仔,Severinia buxifolia,,烏柑仔 <i>Severinia buxifolia</i>  (Poir.) Ten.<font class=c2 ></font>
204464000,7,7-710-71003-7100338-7100338004-710033800414-204464000,0,710033800414,阿里山茵芋,Skimmia arisanensis,,阿里山茵芋 <i>Skimmia arisanensis</i>  Hayata<font class=c2 > [Endemic]</font>
424122000,7,7-710-71003-7100338-7100338004-710033800414-424122000,0,710033800414,深紅茵芋,Skimmia japonica distincte-venulosa orthoclada,,深紅茵芋 <i>Skimmia japonica</i>  Thunb. </i>subsp. <i>distincte-venulosa</i> var. <i>orthoclada</i> (Hayata) Ho <font class=c2 ></font>
433855000,7,7-710-71003-7100338-7100338004-710033800414-433855000,0,710033800414,顯脈茵芋,Skimmia japonica  distincte-venulosa distincte-venulosa,,顯脈茵芋 <i>Skimmia japonica </i>subsp. <i>distincte-venulosa</i> var. <i>distincte-venulosa</i></i>  (Hayata) T.C.Ho<font class=c2 > [Endemic]</font>
204467000,7,7-710-71003-7100338-7100338004-710033800415-204467000,0,710033800415,賊仔樹,Tetradium glabrifolium,,賊仔樹 <i>Tetradium glabrifolium</i>  (Champ. ex Benth.) T.G. Hartley<font class=c2 ></font>
204468000,7,7-710-71003-7100338-7100338004-710033800415-204468000,0,710033800415,吳茱萸,Tetradium ruticarpum,,吳茱萸 <i>Tetradium ruticarpum</i>  (A. Juss.) T.G. Hartley<font class=c2 ></font>
204469000,7,7-710-71003-7100338-7100338004-710033800416-204469000,0,710033800416,飛龍掌血,Toddalia asiatica,,飛龍掌血 <i>Toddalia asiatica</i>  (L.) Lam.<font class=c2 ></font>
429239000,7,7-710-71003-7100338-7100338004-710033800417-429239000,0,710033800417,岩花椒,Zanthoxylum acanthopodium,,岩花椒 <i>Zanthoxylum acanthopodium</i>  DC.<font class=c2 ></font>
433856000,7,7-710-71003-7100338-7100338004-710033800417-433856000,0,710033800417,食茱萸,Zanthoxylum ailanthoides  ailanthoides,,食茱萸 <i>Zanthoxylum ailanthoides </i>var. <i>ailanthoides</i></i>  Siebold & Zucc.<font class=c2 ></font>
204471000,7,7-710-71003-7100338-7100338004-710033800417-204471000,0,710033800417,秦椒,Zanthoxylum armatum,,秦椒 <i>Zanthoxylum armatum</i>  DC.<font class=c2 ></font>
423903000,7,7-710-71003-7100338-7100338004-710033800417-423903000,0,710033800417,狗花椒,Zanthoxylum avicennae,,狗花椒 <i>Zanthoxylum avicennae</i>  (Lam.) DC.<font class=c2 ></font>
204472000,7,7-710-71003-7100338-7100338004-710033800417-204472000,0,710033800417,蘭嶼花椒,Zanthoxylum integrifoliolum,,"蘭嶼花椒 <i>Zanthoxylum integrifoliolum</i>  (Merr.) Merr., 1923<font class=c2 ></font>"
204473000,7,7-710-71003-7100338-7100338004-710033800417-204473000,0,710033800417,雙面刺,Zanthoxylum nitidum,,雙面刺 <i>Zanthoxylum nitidum</i>  (Roxb.) DC.<font class=c2 ></font>
204474000,7,7-710-71003-7100338-7100338004-710033800417-204474000,0,710033800417,三葉花椒,Zanthoxylum pistaciiflorum,,三葉花椒 <i>Zanthoxylum pistaciiflorum</i>  Hayata<font class=c2 > [Endemic]</font>
204475000,7,7-710-71003-7100338-7100338004-710033800417-204475000,0,710033800417,藤花椒,Zanthoxylum scandens,,藤花椒 <i>Zanthoxylum scandens</i>  Blume<font class=c2 ></font>
204476000,7,7-710-71003-7100338-7100338004-710033800417-204476000,0,710033800417,翼柄花椒,Zanthoxylum schinifolium,,翼柄花椒 <i>Zanthoxylum schinifolium</i>  Siebold & Zucc.<font class=c2 ></font>
204477000,7,7-710-71003-7100338-7100338004-710033800417-204477000,0,710033800417,刺花椒,Zanthoxylum simulans,,刺花椒 <i>Zanthoxylum simulans</i>  Hance<font class=c2 ></font>
204478000,7,7-710-71003-7100338-7100338004-710033800417-204478000,0,710033800417,屏東花椒,Zanthoxylum wutaiense,,屏東花椒 <i>Zanthoxylum wutaiense</i>  I.S. Chen<font class=c2 > [Endemic]</font>
71003380051,6,7-710-71003-7100338-7100338005-71003380051,1,7100338005,槭屬,Genus Acer,8種,槭屬  Genus <i>Acer</i><font class=c1>   8種</font>
71003380052,6,7-710-71003-7100338-7100338005-71003380052,1,7100338005,止宮樹屬,Genus Allophylus,1種,止宮樹屬  Genus <i>Allophylus</i><font class=c1>   1種</font>
71003380053,6,7-710-71003-7100338-7100338005-71003380053,1,7100338005,倒地鈴屬,Genus Cardiospermum,2種,倒地鈴屬  Genus <i>Cardiospermum</i><font class=c1>   2種</font>
71003380054,6,7-710-71003-7100338-7100338005-71003380054,1,7100338005,龍眼屬,Genus Dimocarpus,1種,龍眼屬  Genus <i>Dimocarpus</i><font class=c1>   1種</font>
71003380055,6,7-710-71003-7100338-7100338005-71003380055,1,7100338005,車桑子屬,Genus Dodonaea,1種,車桑子屬  Genus <i>Dodonaea</i><font class=c1>   1種</font>
